Model,Column,Accuracy,Precision,Recall,F1,TP,FP,FN
03mini,Grant Name,0,0,0,0,0,0,0
03mini,County,0,0,0,0,0,0,0
03mini,Persons (entities),0,0,0,0,0,0,0
03mini,Year,0,0,0,0,0,0,0
03mini,Land Size (Acres),0,0,0,0,0,0,0
03mini,Land Size (Sq. Leagues),0,0,0,0,0,0,0
03mini,Coordinates,0,0,0,0,0,0,0
03mini,Notes,0,0,0,0,0,0,0
,,,,,,,,
ClaudeSonnet3_5,Grant Name,1.0,1.0,1.0,1.0,3,0,0
ClaudeSonnet3_5,County,1.0,1.0,1.0,1.0,3,0,0
ClaudeSonnet3_5,Persons (entities),0.7857,1.0,0.7857,0.88,11,0,3
ClaudeSonnet3_5,Year,0.3,1.0,0.3,0.4615,3,0,7
ClaudeSonnet3_5,Land Size (Acres),0.25,0.6667,0.2857,0.4,2,1,5
ClaudeSonnet3_5,Land Size (Sq. Leagues),1.0,1.0,1.0,1.0,2,0,0
ClaudeSonnet3_5,Coordinates,0.2727,0.3333,0.6,0.4286,3,6,2
ClaudeSonnet3_5,Notes,0.0,0.0,0,0,0,3,0
,,,,,,,,
ClaudeSonnet3_7,Grant Name,0.6207,0.8182,0.72,0.766,36,8,14
ClaudeSonnet3_7,County,0.9057,0.9412,0.96,0.9505,48,3,2
ClaudeSonnet3_7,Persons (entities),0.858,0.9026,0.9456,0.9236,139,15,8
ClaudeSonnet3_7,Year,0.463,0.8621,0.5,0.6329,50,8,50
ClaudeSonnet3_7,Land Size (Acres),0.8438,0.931,0.9,0.9153,81,6,9
ClaudeSonnet3_7,Land Size (Sq. Leagues),0.0,0.0,0.0,0,0,44,38
ClaudeSonnet3_7,Coordinates,0.5096,0.6107,0.7547,0.6751,80,51,26
ClaudeSonnet3_7,Notes,0.0,0.0,0.0,0,0,16,2
,,,,,,,,
ClaudeSonnet4,Grant Name,0.6207,0.8182,0.72,0.766,36,8,14
ClaudeSonnet4,County,0.9057,0.9412,0.96,0.9505,48,3,2
ClaudeSonnet4,Persons (entities),0.8554,0.882,0.966,0.9221,142,19,5
ClaudeSonnet4,Year,0.3981,0.9318,0.41,0.5694,41,3,59
ClaudeSonnet4,Land Size (Acres),0.8438,0.931,0.9,0.9153,81,6,9
ClaudeSonnet4,Land Size (Sq. Leagues),0.0,0.0,0.0,0,0,43,38
ClaudeSonnet4,Coordinates,0.5096,0.6107,0.7547,0.6751,80,51,26
ClaudeSonnet4,Notes,0.0,0.0,0.0,0,0,14,2
,,,,,,,,
Gemini2_0Flash,Grant Name,1.0,1.0,1.0,1.0,13,0,0
Gemini2_0Flash,County,0.8824,0.9375,0.9375,0.9375,15,1,1
Gemini2_0Flash,Persons (entities),0.4035,0.7931,0.451,0.575,23,6,28
Gemini2_0Flash,Year,0.2188,0.7778,0.2333,0.359,7,2,23
Gemini2_0Flash,Land Size (Acres),0.2759,1.0,0.2759,0.4324,8,0,21
Gemini2_0Flash,Land Size (Sq. Leagues),0.0,0.0,0.0,0,0,10,13
Gemini2_0Flash,Coordinates,0.6176,0.8077,0.7241,0.7636,21,5,8
Gemini2_0Flash,Notes,0.0,0.0,0,0,0,5,0
,,,,,,,,
Gemini2_5Pro,Grant Name,1.0,1.0,1.0,1.0,13,0,0
Gemini2_5Pro,County,0.8824,0.9375,0.9375,0.9375,15,1,1
Gemini2_5Pro,Persons (entities),0.4259,0.8846,0.451,0.5974,23,3,28
Gemini2_5Pro,Year,0.2333,1.0,0.2333,0.3784,7,0,23
Gemini2_5Pro,Land Size (Acres),0.3448,1.0,0.3448,0.5128,10,0,19
Gemini2_5Pro,Land Size (Sq. Leagues),0.0,0.0,0.0,0,0,10,13
Gemini2_5Pro,Coordinates,0.7097,0.9167,0.7586,0.8302,22,2,7
Gemini2_5Pro,Notes,0.0,0.0,0,0,0,4,0
,,,,,,,,
GPT4_0,Grant Name,0,0,0,0,0,0,0
GPT4_0,County,0,0,0,0,0,0,0
GPT4_0,Persons (entities),0,0,0,0,0,0,0
GPT4_0,Year,0,0,0,0,0,0,0
GPT4_0,Land Size (Acres),0,0,0,0,0,0,0
GPT4_0,Land Size (Sq. Leagues),0,0,0,0,0,0,0
GPT4_0,Coordinates,0,0,0,0,0,0,0
GPT4_0,Notes,0,0,0,0,0,0,0
,,,,,,,,
GPT4_1,Grant Name,1.0,1.0,1.0,1.0,49,0,0
GPT4_1,County,0.9038,0.94,0.9592,0.9495,47,3,2
GPT4_1,Persons (entities),0.9091,0.9396,0.9655,0.9524,140,9,5
GPT4_1,Year,0.4857,0.8793,0.5204,0.6538,51,7,47
GPT4_1,Land Size (Acres),0.8723,0.9318,0.9318,0.9318,82,6,6
GPT4_1,Land Size (Sq. Leagues),0.0,0.0,0.0,0,0,42,37
GPT4_1,Coordinates,0.5845,0.686,0.7981,0.7378,83,38,21
GPT4_1,Notes,0.0,0.0,0.0,0,0,58,2
