Model,Grant Number,Grant Name,Perfect Match
ClaudeSonnet3_5,501,NIGUEL,True
ClaudeSonnet3_5,523,SAN DIEGITO,True
ClaudeSonnet3_5,374,LOMPOC,True
ClaudeSonnet3_7,501,NIGUEL,True
ClaudeSonnet3_7,523,SAN DIEGITO,True
ClaudeSonnet3_7,374,LOMPOC,True
ClaudeSonnet3_7,66,LOS GUILLICOS,True
ClaudeSonnet3_7,366,LOMAS DE LA PURIFICACION,True
ClaudeSonnet3_7,405,ISLAND OF SANTA ROSA,True
ClaudeSonnet3_7,221,BOLSA DE SAN CAYETANO,True
ClaudeSonnet3_7,375,PUNTA DE LA CONCEPCION,True
ClaudeSonnet3_7,8,CAPAY,True
ClaudeSonnet3_7,391,CANADA DE SAN MIGUELITO (CANADA DE SAN MIGUEL Y CANADA DEL DIABLO),True
ClaudeSonnet3_7,327,SAN LUISITO,True
ClaudeSonnet3_7,321,"PIEDRA BLANCA (Rancho de San Simeon de San Luis Potosi, Hearst Rancho)",True
ClaudeSonnet3_7,126,PINOLE,True
ClaudeSonnet3_7,528,LA NACION,True
ClaudeSonnet3_7,257,LAS SALINAS,True
ClaudeSonnet3_7,354,PUNTA DE LA LAGUNA,True
ClaudeSonnet3_7,149,SAN MATEO (Santa Rosa de Chualar),True
ClaudeSonnet3_7,552,SAN JOSE Y SER CHIQUITO,True
ClaudeSonnet3_7,28,ESTERO AMERICANO,True
ClaudeSonnet3_7,467,LOS CERRITOS (Los Nietos Rancho),True
ClaudeSonnet3_7,111,LOS MEDANOS,True
ClaudeSonnet3_7,408,"EL CONEJO (Altagracia, Nuestra Senora de Altagracia)",True
ClaudeSonnet3_7,382,LA GOLETA,True
ClaudeSonnet3_7,50,ROBLAR DE LA MISERIA,True
ClaudeSonnet3_7,546,CANADA DE LOS NOGALES,True
ClaudeSonnet3_7,377,CANADA DE SALISPUEDES,True
ClaudeSonnet3_7,235,PANOCHE DE SAN JUAN Y LOS CARRISALITOS (Fatjo Rancho),True
ClaudeSonnet3_7,32,NICASIO,True
ClaudeSonnet3_7,110,"LOS MEGANOS (Pulpunes, Umpines, Brentwood Rancho, New York Rancho)",True
ClaudeSonnet3_7,272,RINCON DE LA PUENTE DEL MONTE,True
ClaudeSonnet3_7,277,SAUCITO,True
ClaudeSonnet3_7,352,BOLSA DE CHAMISAL,True
ClaudeSonnet3_7,421,HUERTA DE CUATI,True
ClaudeSonnet3_7,20,NEW HELVETIA,True
ClaudeSonnet3_7,462,LA HABRA,True
ClaudeSonnet3_7,288,EL SUR,True
ClaudeSonnet3_7,477,SANTA ANA DEL CHINO,True
ClaudeSonnet3_7,351,NIPOMO,True
ClaudeSonnet3_7,40,CANADA DE HERRERA,True
ClaudeSonnet3_7,497,TRABUCO,True
ClaudeSonnet3_7,133,ARROYO DE LA ALAMEDA,True
ClaudeSonnet3_7,97,SAN JUAN,True
ClaudeSonnet3_7,539,BOCA DE SANTA MONICA (Valle de Santa Monica),True
ClaudeSonnet3_7,145,"POSOLMI (Posolomi, and Pozito de las Animas)",True
ClaudeSonnet4,501,NIGUEL,True
ClaudeSonnet4,523,SAN DIEGITO,True
ClaudeSonnet4,374,LOMPOC,True
ClaudeSonnet4,66,LOS GUILLICOS,True
ClaudeSonnet4,366,LOMAS DE LA PURIFICACION,True
