name,number,county,counties_listed,grant_size,grant_year,governor,location,persons,locations,dates,organizations,grantors,patent_holders,coordinates,patent_acres,patent_year,patent_recipients,alternative_names,geographical_references
AGUA CALIENTE (Higuera),#136,ALAMEDA COUNTY,ALAMEDA COUNTY,2 sq. leagues,1836,Alvarado; Gutierrez,"T 5S, R IE-1 W, MDM",Fulgencio Higuera; Higuera; Fulgencio,Santa Clara; Gutierrez; Alameda,1839; 1858; 1840; 1836,Dept. Assembly,Alvarado; Gutierrez,,"T 5S, R IE-1 W, MDM",,,,,
ARROYO DE LA ALAMEDA,#133,ALAMEDA COUNTY,Alameda,,1842,Alvarado,"T 3-4S, R 1-2W, MDM","J. de J. Vallejo; Jose
   de Jesus Vallejo",,1842; 1858,Alameda Co. Grant,Alvarado,,"T 3-4S, R 1-2W, MDM",,,,,
CANADA DE LOS VAQUEROS,#109,ALAMEDA COUNTY,ALAMEDA COUNTY,4 sq. leagues,1844,Micheltorena,,Maria B.; Jose Noriega; Antonio; Manuel; Robert Livermore; Mirando Higuera,Francisco; Micheltorena; Alameda,1889; 1844,Contra; Alviso,Micheltorena,,,,,,,
LAS POSITAS,#120,ALAMEDA COUNTY,Alameda,2 sq. leagues,,Alvarado,"T 2-3S, R 2E, MDM",Jose Noriega; Robert Livermore; Noriega; Salvio,,two days later; 1872,Alameda Co.; Pacheco; Livermore,Alvarado,,"T 2-3S, R 2E, MDM",,,,,
MISION SAN JOSE (Three tracts),#135,ALAMEDA COUNTY,Alameda,,,,"T 4-5S, R 1E-1W","Fermin Francisco de Lasuen; J. S.
  Alemany",Monterey,1797; 1858,Alameda Co.; Bishop,,,"T 4-5S, R 1E-1W",28.33,1858,J,,
POTRERO DE LOS CERRITOS,#134,ALAMEDA COUNTY,ALAMEDA COUNTY,3 sq. leagues,1844,Micheltorena,"T 4S, R 2W",Tomas Pacheco,,1844,"Alameda Co.; Augustin
  Alviso; Agustin Alviso",Micheltorena,,"T 4S, R 2W",,,,,
SAN ANTONIO (A. M. Peralta),#129,ALAMEDA COUNTY,Alameda,,1820,de; Micheltorena,,"Luis Peralta; Grant
  ; Antonio Maria Peralta; Luis
  Peralta",,1844; 1820; 1874,Alameda Co.,de; Micheltorena,,,,,,,
SAN ANTONIO (V. and D. Peralta),#128,ALAMEDA COUNTY,Alameda,4 sq. leagues,1820,de; Micheltorena,"T IS, R 3-4W, MDM",Luis Peralta,,1877; 1844; 1820,Alameda Co.; Vicente and Dominguez Peralta; Temescal,de; Micheltorena,,"T IS, R 3-4W, MDM",,,,,
SAN ANTONIO (Y. Peralta),#130,ALAMEDA COUNTY,Alameda,2 sq. leagues,1820,de; Micheltorena,"T 2S, R 2-3W, MDM","Luis Peralta; Ygnacio Peralta; Luis
  Peralta",,1844; 1820; 1858,Alameda Co.,de; Micheltorena,,"T 2S, R 2-3W, MDM",,,,,
SAN LORENZO (Castro),#122,ALAMEDA COUNTY,Alameda,"6
  sq. leagues",1841; 1843,Alvarado; Micheltorena,"T 2-3S, R 1-2W, MDM",Guillermo Castro,,1865; 1843; 1841,Alameda Co.,Alvarado; Micheltorena,,"T 2-3S, R 1-2W, MDM",,,,,
SAN LORENZO (Soto),#132,ALAMEDA COUNTY,Alameda,,,Alvarado; Micheltorena,"T 3S, R 2-3W, MDM",Francisco Soto; Barbara Soto,,1877; 1842; 1844,Alameda Co.,Alvarado; Micheltorena,,"T 3S, R 2-3W, MDM",,,,,
SAN LEANDRO,#131,ALAMEDA COUNTY,Alameda,1 sq. league,1842,Alvarado,"T 2-3S, R 2-3 W","Arroyo de San
   ; J. J. Estudillo; Jose Joaquin Estudillo",,1842; 1863,Alameda Co.; Leandro,Alvarado,,"T 2-3S, R 2-3 W",6629.58,1863,J,"Arroyo de San
   Leandro",
SAN RAMON (Amador),#118,ALAMEDA COUNTY,ALAMEDA COUNTY,4 sq. leagues,1835,Figueroa,T 2-3 S,"Jose Maria
   ; Jose Maria Amador",Alameda,1835; 1865,Contra; Amador,Figueroa,,T 2-3 S,,,,,
SANTA RITA (Pacheco),#119,ALAMEDA COUNTY,Alameda,"2
   sq. leagues",1839,Alvarado,"T 3S, R 1-2 E",Admin; Jose,Yountz,1865; 1839,Alameda Co.; Pacheco,Alvarado,Admin; Jose,"T 3S, R 1-2 E",8894.01,1865,"Jose
   Dolores Pacheco, Yountz (Admin",,
VALLE DE SAN JOSE (Sunol-Bernal),#121,ALAMEDA COUNTY,Alameda,11 sq. leagues,1839,Alvarado,"T 3-4S, R 1-2E, MDM",Agustin Bernal; Juan; Antonio Sunol; Antonio Maria Pico,San Jose,1865; 1840; 1839,Alameda Co.; El Valle de San Jose; Agustin; Departmental Junta,Alvarado,,"T 3-4S, R 1-2E, MDM",,,,,
