Grant Name,Grant Number,Location,Grantor,Grantee,Year,Land Size (Acres)
NIGUEL,501,,,,,3 sq. leagues
SAN DIEGUITO,523,,,,,
LOMPOC,374,,,,,38.000 acres
LOS GUILLICOS,66,,,,,18.833 acres
LOMAS DE LA PURIFICACION,366,,,,,3 sq. leagues
ISLAND OF SANTA ROSA,405,,,,,696.49 acres
BOLSA DE SAN CAYETANO,221,,,,,2 sq. leagues
PUNTA DE LA CONCEPCION,375,,,,,6 sq. leagues
CAP AY,8,,,,,10 sq. leagues
CANADA DE SAN MIGUELITO,391,,,,,2 sq. leagues
SAN LUISITO,327,,,,,369.56 acres
PIEDRA BLANCA,321,,,,,805.59 acres
PINOLE,126,,,,,4 sq. leagues
LA NACION,528,,,,,6 sq. leagues
LAS SALINAS,257,,,,,4 sq. leagues
PUNTA DE LA LAGUNA,354,,,,,6 sq. leagues
SAN MATEO,149,,,,,2 sq. leagues
CHUALAR,270,,,,,2 sq. leagues
SAN JOSE Y SER CHIQUITO,552,,,,,2 sq. leagues
ESTERO AMERICANO,28,,,,,"8,829 acres"
LOS CERRITOS,467,,,,,054.36 acres
LOS MEDANOS,111,,,,,658.83 acres
EL CONEJO,408,,,,,11 sq. leagues
LA GOLETA,382,,,,,426.10 acres
ROBLAR DE LA MISERIA,50,,,,,"1,792 acres"
CANADA DE LOS NOGALES,546,,,,,199.56 acres
CANADA DE SALISPUEDES,377,,,,,651.21 acres
PANOCHE DE SAN JUAN Y LOS CARRISALITOS,235,,,,,5 sq. leagues
NICASIO,32,,,,,16 sq. leagues
LOS MEGANOS,110,,,,,"13,316 acres"
RINCON DE LA PUENTE DEL MONTE,272,,,,,7 sq. leagues
SAUCITO,277,,,,,211.65 acres
BOLSA DE CHAMISAL,352,,,,,3 sq. leagues
HUERTA DE CUATI,421,,,,,128.26 acres
NEW HELVETIA,20,,,,,11 sq. leagues
LA HABRA,462,,,,,698.57 acres
EL SUR,288,,,,,2 sq. leagues
SANTA ANA DEL CHINO,477,,,,,5 sq. leagues
NIPOMO,351,,,,,11 sq. leagues
CANADA DE HERRERA,40,,,,,659.45 acres
TRABUCO,497,,,,,5 sq. leagues
ARROYO DE LA ALAMEDA,133,,,,,4 sq. leagues
SAN JUAN,97,,,,,2 sq. leagues
BOCA DE SANTA MONICA,539,,,,,635.93 acres
POSOLMI,145,,,,,695.90 acres
