Grant Number,Golden Names,Generated Names,Model,Match,Match Percentage
501,"Gov. Alvarado, Juan Avila,  Concepcion Avila, ","Alvar, ##ado, Juan, Conce, ##cion Avila, Juan, Conce, ##cion Avila, Miguel",landGrantHuggingFace,5,56.0
523,"Gov. Victoria, Silva Family, Gov. Gutierrez, Gov. Alvarado, Gov. Pico, Juan Osuna, Juliana L. Osuna","Victoria, Silva, Gutierrez, Alvar, ##ado, Pico, Juan Osun, Juliana L. Osuna",landGrantHuggingFace,7,88.0
374,"Gov. Alvarado, Joaquin Carrillo, Jose Antonio Camilo, J. A. Carrillo","Alvar, ##ado, Joaquin Carrillo, Jose Antonio Camilo, J, J, A, Carrillo",landGrantHuggingFace,7,88.0
66,"Gov. Alvarado, John Wilson ","Alvar, ##ado, John Wilson, Juan Wilson",landGrantHuggingFace,2,50.0
366,"Gov. Micheltorena, Augustine Janssens","Micheltore, A, ##gus, ##tin Janssens, A, ##gus, ##tin Janssens",landGrantHuggingFace,3,43.0
405,"Gov. Micheltorena, Antonio Carrillo, Carlos Carrillo, Manuela Carrillo de Jones ","Micheltore, Antonio, Carlos Carrillo, Manuela Carrillo de Jones",landGrantHuggingFace,4,100.0
221,"Gov. de Sola, Ignacio Vallejo, Dolores Pico, Gov. Arguello, Gov. Figueroa, Jose de Jesus Vallejo","de Sola, Ignacio Vallejo, Dolores Pico, Arguello, Ignacio Vallejo, Figueroa, Jose de Jesus Vallejo, Ignacio, J, de J, Vallejo",landGrantHuggingFace,11,100.0
375,"Gov. Alvarado, Anastacio Carrillo","Alvar, ##ado, Anasta, ##cio Carrillo, A, Carrillo",landGrantHuggingFace,4,67.0
8,"Gov. Micheltorena, Josefa Soto","Micheltore, Josef, ##a Soto, Josefa Soto",landGrantHuggingFace,3,75.0
391,"Gov. Pico, Ramon Rodriguez, Juana Tico de Rodriguez, ","Pi, ##co, Ramon Rodriguez",landGrantHuggingFace,2,67.0
327,"Gov. Alvarado, Guadalupe Cantua","Alvar, ##ado",landGrantHuggingFace,1,50.0
321,"Gov. Alvarado, Jose de Jesus Pico","Alvar, ##ado, Jose de Jesus Pico, Jose de Jesus Pico",landGrantHuggingFace,3,75.0
126,"Gov. Echeandia, Gov. Alvarado, Ygnacio Martinez, Maria Antonio Martinez de Richardson","Echeand, ##ia, Alvar, ##ado, Ygna, ##cio Martinez, Maria Antonio Martinez de Richardson",landGrantHuggingFace,4,57.0
528,"Gov. Pico, Juan Forster","Pi, ##co, Juan Forster, Juan Forster",landGrantHuggingFace,3,75.0
257,"Antonio Aceves, Antonio Romero, Gov. Gutierrez, Gabrial Espinosa, Linda E. Pogue","Antonio Aceves, Antonio Romero, Gutierrez, Gabriel Espinosa, Linda E. Pogue, G, Espinosa",landGrantHuggingFace,6,86.0
354,"Gov. Micheltorena, Luis Arellanes, Emelio Miguel Ortega","Micheltore, Luis Arellanes, Emeli, ##o Miguel Ortega, Luis Arellanes",landGrantHuggingFace,4,80.0
149,"Gov. Pro Tem. Manuel Jimeno Casarin, Juan Malarin","Pi, ##co, C, ##ay, Arena, W, Howard",landGrantHuggingFace,1,14.0
552,"Gov. Alvarado, Marcelino Escobar, Joseph S. Emory, Nathan W. Spaulding, Abner Bassett, Mary Ann Bassett","Alvar, ##ado, Marcel, ##ino Escobar, Joseph S. Emory, Nathan W. Spaulding, A, ##bner Bassett, Mary Ann Bassett",landGrantHuggingFace,6,67.0
28,"Gov. Pro Tern. Manuel Jimeno Casarin, Edward McIntosh, Jasper Farrell","Manuel Jimeno, Casa, Edward McI, ##sh, Jasper",landGrantHuggingFace,4,80.0
467,"Gov. Fages, Don Manuel Nieto, Gov. Figueroa, Juan Temple","Fages, Don, Manuel Nieto, Figueroa, Manuel Nieto, Don, ##a Manuela Nieto, Manuel Nieto, Figueroa, Juan Temple",landGrantHuggingFace,9,90.0
111,"Gov. Alvarado, Jose Antonio Mesa, Jose Miguel Mesa","Alvar, ##ado, Jose Antonio Mesa, Jose Miguel Mesa, J, D, Stevenson",landGrantHuggingFace,4,57.0
408,"Gov. Arrillaga, Ignacio Rodriguez, Gov. Arrillaga, Jose Polanco, Gov. de Sola to Jose de la Guerra y Noriega, Gov. Figueroa, Maria del Carmen Rodriguez","Arrillaga, Ignacio Rodriguez, Arrillaga, Jose Polanco, de Sola, Jose de la Guerra y Noriega, Rodriguez, Figueroa, Maria del Carmen Rodriguez, Alvar, ##ado, Jose de la Guerra y Nor, Jose de la Guerra y Nor",landGrantHuggingFace,11,85.0
382,"Gov. Pico, Daniel Hill","Pi, ##co, Daniel Hill, Daniel Hill",landGrantHuggingFace,3,75.0
50,"Gov. Pico, Juan Nepomuseno Padillo, Daniel Wright","Pi, ##co, Juan Nepom, ##no Padillo, Daniel Wright",landGrantHuggingFace,3,60.0
546,"Gov. Micheltorena, Jose M. Aguilar","Micheltore, Jose M. Aguilar, J, M. Aguilar",landGrantHuggingFace,4,100.0
377,"Gov. Micheltorena, Pedro Cordero, John Keys","Micheltore, Pedro Cordero, John Keyes",landGrantHuggingFace,2,67.0
235,"Gov. Micheltorena, Julian Ursua, Romo","Micheltore, Julian Ursua",landGrantHuggingFace,2,100.0
32,"Gov. Micheltorena, Pablo de la Guerra, Juan Cooper, H. W. Halleck, Wm. Reynolds, Daniel Frink, B. R. Buckelow\","Micheltore, Pablo de la Guerra, Juan Cooper, H, W, Halle, W, Reynolds, Daniel Frink, James Black, B, R, Buckelo",landGrantHuggingFace,12,92.0
110,"Gov. Castro, Jose Noriega, John Marsh","Castro, Jose Noriega, Nor, John Marsh, Alice Marsh, John Marsh",landGrantHuggingFace,5,83.0
272,"Gov. Gutierrez, Gov. Figueroa, Teodoro Gonzales","Gutierrez, Figue, ##roa, Teod, ##oro Gonzales, Teodoro Gonzales",landGrantHuggingFace,4,67.0
277,"Gov. Figueroa, Graciano Manjares, Josiah Swain, John Wilson, George C. Harris","Figueroa, Grac, ##iano Manjares, John Wilson, Josiah Swain, George C. Harris",landGrantHuggingFace,5,83.0
352,"Gov. Alvarado, Francisco Quijada, Lewis T. Burton","Alvarado, Francisco Qui, Lewis T, Burton",landGrantHuggingFace,4,100.0
421,"Victoria Reid, Gov. Alvarado","Victoria Reid, Alvarado, Victoria Reid",landGrantHuggingFace,3,100.0
20,"Gov. Alvarado, John A. Sutter","Alvarado, John A. Sutter, John A. Sutter",landGrantHuggingFace,3,100.0
462,"Gov. Pro Tem. Manuel Jimeno Casarin, Don Mariano Rolden, Andreas Pico","Manuel Jimeno, Casa, Don Mariano Rolden, Andreas Pico",landGrantHuggingFace,4,100.0
288,"Gov. Figueroa, Juan B. Alvarado, J. B. R. Cooper","Figue, Juan B. Alvarado, J, B, R. Cooper",landGrantHuggingFace,5,100.0
477,"Gov. Alvarado, Antonio M. Lugo, Maria Merced Williams, Francisca Williams","Alvar, ##ado, Antonio M. Lu, Maria Merced Williams, Francisca Williams, Isaac Williams",landGrantHuggingFace,4,67.0
351,"Gov. Alvarado, William G. Dana","Alvarado, William G. Dana, William G. Dana",landGrantHuggingFace,3,100.0
40,"Gov. Pro Tern. Manuel Jimeno Casarin, Domingo Sais","Manuel Jimeno, Casa, Domingo Sais, Domingo Sais",landGrantHuggingFace,4,100.0
497,"Gov. Pico, J. Forster, Santiago Arguello","Pie, ##o, J, Forster, Santiago Arguel, Juan Forster",landGrantHuggingFace,3,50.0
133,"Gov. Alvarado, Jose de Jesus Vallejo","Alvar, ##ado, Jose de Jesus Vallejo, J, . de J. Vallejo",landGrantHuggingFace,3,60.0
97,"Gov. Micheltorena, Joel P. Dedmond, Hiram Grimes","Micheltore, Joel P. Dedmond, Hi, ##ram Grimes",landGrantHuggingFace,3,75.0
