Grant Name,Grant Number,County,Persons (entities),Year,Land Size (Acres),Land Size (Sq. Leagues),Coordinates,Notes
HUERTA DE CUATI,421,Los Angeles,"Victoria Reid, Victoria Reid",1859,128.26,,,
ROBLAR DE LA MISERIA,50,Sonoma,"Juan
  Nepomuseno Padillo, Daniel Wright",1858,"1,792",,"In T 4-6N,
  R 7-8W, MDM",
PANOCHE DE SAN JUAN Y LOS CARRISALITOS,235,Merced,"Julian Ursua, Romo, Fatjo Rancho",1867,175.34,5,"In T
  11-13S, R 9-10E, MDM",
EL POTRERO DE SAN CARLOS,286,Monterey,"Maria Esteban, Fructuoso del Real, J. Gutierrez",1862,306.98,,,
PALA,180,Santa Clara,"Jose Higuera, Ellen E. White el al., Chas",1866,,,,
LAS POSITAS,120,Alameda,"Robert Livermore, Jose Noriega, Salvio
   Pacheco, Livermore, Livermore, Noriega, Noriega",1872,"8,880",2,"In T 2-3S, R 2E, MDM",
DEL PASO,96,Sacramento,"Eliah Grimes, Samuel
   Norris, Haggin",1858,371.42,10,,
BOLSA DE CHAMISAL,352,San Luis Obispo,"Francisco Quijada, Lewis T. Burton",1867,335.22,3,,
CHOLAME,314,,"Mauricio Gonzales, Ellen E. White",1865,621.82,6,"In T 24-25S, R 15-16E, MDM",
SAN BERNABE,303,Monterey,"Jesus
   Molina, Petronillo Rios, Henry Cocks",1873,296.98,,"In T 20S, R 8E, MDM",
COTATE,65,Sonoma,"Juan Castaneda, S. Page",1858,"17,238",4,,
RINCON DE MUSALACON,56,Sonoma,"Francisco
  Berreyesa, Johnson Horrell et al",1868,"8,866",,,
SANJON DE SANTA RITA,198,,Francisco Soberanes,1862,823.84,11,"In T 8-10S, R 11-13W.",
SAN JOSE Y SER CHIQUITO,552,Monterey,"Marcelino Escobar, Joseph S. Emory, Nathan W. Spaulding, Mary Ann Bassett",1888,818.56,2,,
