Name,Frequency
Simeon Castro,12
Josefa Soto,12
Maximo Martinez,12
Manuel Jimeno,11
Noriega,10
Joaquin Ruiz,8
Robert Livermore,8
Jacob P. Leese,8
Domingo Sais,8
Jose Noriega,8
Manuel,8
Gil Ybarra,8
George C. Yount,8
Manuel Nieto,8
Victoria Reid,7
Francisco Maria Ruiz,7
Julian Pope,7
Josefa Alvarado,7
Maxim,6
Andres Castillero,6
##o Martinez,6
Juan,6
Domingo Peralta,6
Teodoro Soto,6
Concepcion Avila,6
Francisco Soberanes,6
Francisco,5
Michael White,5
Francisco Perez Pacheco,5
Ellen E. White,5
A,5
Jose de la Guerra y Noriega,5
A. J. Rocha,4
Jose Antonio Carrillo,4
Henry Haieht,4
Joseph Pope,4
de Sola,4
Jose Polanco,4
Pedro Lopez,4
Antonio Jose Rocha,4
Jose Jorge Rocha,4
Antonio,4
Antonio Ignacio Avila,4
Maria Antonio,4
Grant,4
Juana,4
Maria del Carmen Rodriguez,4
Daniel Wright,4
Julian Ursua,4
##a Soto,4
Josef,4
Maria Esteban,4
Jose Higuera,4
Te,4
##on Castro,4
J,4
Joaquin Carrillo,4
Henry Cocks,4
Juan Castaneda,4
Francisco Maria Alvarado,4
Joseph S. Emory,4
Livermore,4
Francisco Soto,4
Nathan W. Spaulding,4
Mary Ann Bassett,4
Luis Arellanes,4
John Milligan,4
Alviso,3
Casa,3
Romero,3
Casarin,3
Teodoro Romero,3
Miguel,3
Maria B.,3
Juan Temple,3
Mirando Higuera,3
Si,3
Liverm,3
Nemisio Dominguez,3
Jose Antonio Camilo,3
J. Rocha,3
Josefa de la Merced Jordan,3
Francisco Lopez,3
Francisco Quijada,3
J. Gutierrez,3
Lewis T. Burton,3
Cipriano Thum,3
Anastasio Chabolla,3
Mauricio Gonzales,3
Francisco Sepulveda,3
Juan B.,3
Leandro,3
Apolinario Lorenzana,3
Jose Antonio,3
Alexander Bell,3
Ellen E. White el al.,3
Pedro,3
Manuel J.,3
Romo,3
Glenn,3
al,3
##tu,2
S. Page,2
Rodriquez,2
Alcalde,2
"Francisco
  Berreyesa",2
"Juan
  Nepomuseno Padillo",2
Maximo    Martinez,2
A. Carrillo,2
Fr,2
C. Murphy,2
##uc,2
T,2
##oso del Real,2
Norie,2
"Maximo
   Martinez",2
##oro Soto,2
Teod,2
Thum,2
Fatjo Rancho,2
##s Castillero,2
Andre,2
##sio Chabolla,2
##sta,2
Ana,2
Chas,2
##cion Avila,2
Conce,2
Haggin,2
Marcelino Escobar,2
A. P. Castro,2
Carpenter,2
"Francisco Perez
  Pacheco",2
Fructuoso del Real,2
D. W. Alexander,2
"Ignacio
  Rodriguez",2
Trifion Garcia,2
M. A. P. Castro,2
Morillo,2
Martin J. C. Murphy,2
Jose de la Guerra,2
"Emelio Miguel
  Ortega",2
"Maria
  del Carmen Rodriguez",2
"Luis
  Arellanes",2
Tein,2
"Don
  Manuel Nieto",2
Dona,1
de la Guerra y Nor,1
Manuela Nieto,1
Los Cerritos,1
Em,1
##eli,1
##o Miguel Ortega,1
C,1
##iprian,1
Michael,1
. I. Avila,1
##ga,1
Maria Antonia Pico de,1
A. I. Avila,1
##io Lorenzan,1
Leand,1
##ro,1
Juan B,1
Francisco Sep,1
##veda,1
Ramon,1
Sep,1
##ved,1
Altagracia,1
Salvio,1
##a Maria Isabel Ortega,1
Martin J,1
"Jose
  de la Guerra",1
Anacheto Lestrada,1
Don Manuel Nieto,1
##poli,1
Mira,1
Don,1
"Anastasio
   Chabolla",1
Johnson Horrell et al,1
"Maria Antonia Pico de
   Castro",1
Ramona Sepulveda,1
Los Alisos,1
Tein.,1
Tern. Manuel Jimeno,1
"Dona Maria Isabel
   Ortega",1
"de la Guerra y
  Noriega",1
"Jesus
   Molina",1
"Sausal Redondo y
  Guaspito",1
"Michael
   White",1
Maria Ruiz,1
"Dona
  Manuela Nieto",1
Polanco,1
"Jose
  de la Guerra y Noriega",1
"Jose de la Guerra y
  Noriega",1
Petronillo Rios,1
"Samuel
   Norris",1
##a Manuela Nieto,1
Nemisi,1
Maria B,1
M,1
##ndo Higuera,1
Ignacio Rodriguez,1
Trifi,1
##on Garcia,1
Rocha,1
##o Domingue,1
Eliah Grimes,1
Jorge Morillo,1
Tehama,1
##oro Romero,1
Mo,1
##od,1
"San Luis
  Obispo",1
"Salvio
   Pacheco",1
Manuel J,1
Norris,1
Maria Antonia Pico de Castro,1
Jose   de la Guerra y Noriega,1
Luis   Arellanes,1
Maria de Penasquitos,1
Don   Manuel Nieto,1
Dona   Manuela Nieto,1
Antonio Camilo,1
Ventura,1
Ignacio   Rodriguez,1
Thos,1
Johnson Horrell,1
Maria   del Carmen Rodriguez,1
Jose de la Guerra y   Noriega,1
Francisco Perez   Pacheco,1
Josefa de la,1
Jesus,1
Jorge    Morillo,1
San Luis Obispo,1
Emelio Miguel   Ortega,1
Michael    White,1
Sime,1
Bolsa Nueva,1
Samuel    Norris,1
Jesus    Molina,1
Francisco   Berreyesa,1
Salvio    Pacheco,1
Abner Bassett,1
Maria Antonia Pico de    Castro,1
Castro,1
Dona Maria Isabel    Ortega,1
I. Avila,1
Martin J.,1
Anastasio    Chabolla,1
Bassett,1
Ursua,1
Juan   Nepomuseno Padillo,1
W. Alexander,1
Capt. de la Guerra y   Noriega,1
J.,1
La Providencia,1
Juan Nepom,1
S,1
Ma,1
##uri,1
##cio Gonzales,1
Jesus Molina,1
Petron,1
##illo Rios,1
R11W,1
. Page,1
##no Padillo,1
Francisco Berreyes,1
Marcel,1
##ino Escobar,1
Nuestra Senora de Altagracia,1
##bner Bassett,1
Pacheco,1
Samuel,1
Burton,1
Lewis T,1
Francisco Qui,1
Ha,1
Maria Isabel,1
Ortega,1
Ausaymas,1
leagues,1
. Gutierrez,1
Cha,1
##s,1
White,1
Sal,1
##vio Pacheco,1
Pache,1
Live,1
Eli,1
##ah Grimes,1
Samuel Norris,1
"Jorge
   Morillo",1
